date,value
2025-05-23,1892
2025-05-24,1960
2025-05-25,1967
2025-05-26,1919
2025-05-27,1962
2025-05-28,1942
2025-05-29,1806
2025-05-30,1710
2025-05-31,2116
2025-06-01,2014
2025-06-02,1954
2025-06-03,1837
2025-06-04,1874
2025-06-05,2068
2025-06-06,1773
2025-06-07,1955
2025-06-08,2045
2025-06-09,1997
2025-06-10,2045
2025-06-11,1985
2025-06-12,2171
2025-06-13,1929
2025-06-14,1909
2025-06-15,2030
2025-06-16,2118
2025-06-17,2015
2025-06-18,2098
2025-06-19,1989
2025-06-20,1946
2025-06-21,2136
2025-06-22,2152
2025-06-23,2153
2025-06-24,2016
2025-06-25,1968
2025-06-26,1971
2025-06-27,2043
2025-06-28,2105
2025-06-29,2104
2025-06-30,1968
2025-07-01,2089
2025-07-02,2081
2025-07-03,2090
2025-07-04,2086
2025-07-05,2077
2025-07-06,2138
2025-07-07,2109
2025-07-08,2120
2025-07-09,2058
2025-07-10,2140
2025-07-11,2107
2025-07-12,1968
2025-07-13,2159
2025-07-14,2109
2025-07-15,2199
2025-07-16,2124
2025-07-17,2133
2025-07-18,2159
2025-07-19,2147
2025-07-20,2120
2025-07-21,2027
2025-07-22,2293
2025-07-23,2051
2025-07-24,2144
2025-07-25,2220
2025-07-26,2204
2025-07-27,2221
2025-07-28,2240
2025-07-29,2280
2025-07-30,2214
2025-07-31,2406
2025-08-01,2128
2025-08-02,2221
2025-08-03,2183
2025-08-04,2174
2025-08-05,2238
2025-08-06,2326
2025-08-07,2174
2025-08-08,2178
2025-08-09,2285
2025-08-10,2276
2025-08-11,2382
2025-08-12,2319
2025-08-13,2266
2025-08-14,2230
2025-08-15,2273
2025-08-16,2249
2025-08-17,2167
2025-08-18,2270
2025-08-19,2261
2025-08-20,2261
2025-08-21,2251
2025-08-22,2407
2025-08-23,2340
2025-08-24,2361
2025-08-25,2254
2025-08-26,2228
