date,value
2025-04-10,14266
2025-04-11,14848
2025-04-12,13997
2025-04-13,14439
2025-04-14,14238
2025-04-15,14122
2025-04-16,14418
2025-04-17,14740
2025-04-18,13891
2025-04-19,14445
2025-04-20,14394
2025-04-21,13877
2025-04-22,14803
2025-04-23,14918
2025-04-24,14062
2025-04-25,14883
2025-04-26,14393
2025-04-27,14341
2025-04-28,14856
2025-04-29,14487
2025-04-30,14530
2025-05-01,14903
2025-05-02,14848
2025-05-03,14744
2025-05-04,14070
2025-05-05,14033
2025-05-06,14857
2025-05-07,14255
2025-05-08,14592
2025-05-09,14240
2025-05-10,14521
2025-05-11,14207
2025-05-12,15094
2025-05-13,14313
2025-05-14,14597
2025-05-15,14591
2025-05-16,15024
2025-05-17,14250
2025-05-18,14680
2025-05-19,14642
2025-05-20,14878
2025-05-21,14875
2025-05-22,14608
2025-05-23,14834
2025-05-24,14664
2025-05-25,14931
2025-05-26,14774
2025-05-27,14622
2025-05-28,14825
2025-05-29,14957
2025-05-30,15542
2025-05-31,14729
2025-06-01,14982
2025-06-02,15344
2025-06-03,14296
2025-06-04,14410
2025-06-05,14591
2025-06-06,14928
2025-06-07,15708
2025-06-08,15108
2025-06-09,15367
2025-06-10,14952
2025-06-11,14294
2025-06-12,14353
2025-06-13,15367
2025-06-14,15132
2025-06-15,14701
2025-06-16,15440
2025-06-17,14657
2025-06-18,15474
2025-06-19,15583
2025-06-20,14932
2025-06-21,14844
2025-06-22,15444
2025-06-23,14876
2025-06-24,15478
2025-06-25,14875
2025-06-26,15490
2025-06-27,15290
2025-06-28,15146
2025-06-29,15022
2025-06-30,15376
2025-07-01,14751
2025-07-02,15250
2025-07-03,15229
2025-07-04,15565
2025-07-05,15000
2025-07-06,15904
2025-07-07,15311
2025-07-08,15078
2025-07-09,15849
2025-07-10,15946
2025-07-11,15406
2025-07-12,15209
2025-07-13,15495
2025-07-14,15298
2025-07-15,15425
2025-07-16,16001
2025-07-17,15665
2025-07-18,15605
2025-07-19,15680
2025-07-20,15573
2025-07-21,15857
2025-07-22,15883
2025-07-23,15522
2025-07-24,15679
2025-07-25,16386
2025-07-26,15803
2025-07-27,15635
2025-07-28,16320
2025-07-29,15722
2025-07-30,15404
2025-07-31,15950
2025-08-01,15492
2025-08-02,15627
2025-08-03,15888
2025-08-04,15767
2025-08-05,15590
2025-08-06,15668
2025-08-07,15670
2025-08-08,16212
2025-08-09,15660
2025-08-10,15719
2025-08-11,16516
2025-08-12,15753
2025-08-13,16380
2025-08-14,16342
2025-08-15,15916
2025-08-16,15550
2025-08-17,16126
2025-08-18,16207
2025-08-19,16309
2025-08-20,16055
2025-08-21,16409
2025-08-22,16479
2025-08-23,15760
2025-08-24,16519
2025-08-25,16157
2025-08-26,15949
