date,value
2025-01-07,339
2025-01-08,339
2025-01-09,361
2025-01-10,349
2025-01-11,356
2025-01-12,326
2025-01-13,312
2025-01-14,312
2025-01-15,320
2025-01-16,304
2025-01-17,321
2025-01-18,334
2025-01-19,345
2025-01-20,330
2025-01-21,289
2025-01-22,340
2025-01-23,349
2025-01-24,373
2025-01-25,361
2025-01-26,329
2025-01-27,328
2025-01-28,403
2025-01-29,371
2025-01-30,401
2025-01-31,410
2025-02-01,332
2025-02-02,366
2025-02-03,369
2025-02-04,373
2025-02-05,374
2025-02-06,366
2025-02-07,366
2025-02-08,322
2025-02-09,359
2025-02-10,345
2025-02-11,370
2025-02-12,355
2025-02-13,385
2025-02-14,392
2025-02-15,380
2025-02-16,381
2025-02-17,376
2025-02-18,363
2025-02-19,372
2025-02-20,364
2025-02-21,389
2025-02-22,380
2025-02-23,397
2025-02-24,346
2025-02-25,407
2025-02-26,364
2025-02-27,366
2025-02-28,382
2025-03-01,373
2025-03-02,398
2025-03-03,375
2025-03-04,363
2025-03-05,370
2025-03-06,430
2025-03-07,397
2025-03-08,365
2025-03-09,398
2025-03-10,357
2025-03-11,449
2025-03-12,361
2025-03-13,416
2025-03-14,419
2025-03-15,366
2025-03-16,415
2025-03-17,435
2025-03-18,422
2025-03-19,418
2025-03-20,437
2025-03-21,417
2025-03-22,423
2025-03-23,412
2025-03-24,434
2025-03-25,392
2025-03-26,440
2025-03-27,407
2025-03-28,392
2025-03-29,433
2025-03-30,470
2025-03-31,451
2025-04-01,413
2025-04-02,447
2025-04-03,417
2025-04-04,427
2025-04-05,434
2025-04-06,370
2025-04-07,439
2025-04-08,407
2025-04-09,417
2025-04-10,398
2025-04-11,398
2025-04-12,415
2025-04-13,464
2025-04-14,487
2025-04-15,443
2025-04-16,474
2025-04-17,439
2025-04-18,396
2025-04-19,453
2025-04-20,462
2025-04-21,439
2025-04-22,460
2025-04-23,469
2025-04-24,431
2025-04-25,416
2025-04-26,451
2025-04-27,453
2025-04-28,450
2025-04-29,488
2025-04-30,509
2025-05-01,452
2025-05-02,483
2025-05-03,491
2025-05-04,486
2025-05-05,497
2025-05-06,459
2025-05-07,491
2025-05-08,527
2025-05-09,495
2025-05-10,458
2025-05-11,492
2025-05-12,511
2025-05-13,488
2025-05-14,464
2025-05-15,522
2025-05-16,448
2025-05-17,497
2025-05-18,484
2025-05-19,453
2025-05-20,520
2025-05-21,497
2025-05-22,458
2025-05-23,507
2025-05-24,480
2025-05-25,441
2025-05-26,475
2025-05-27,502
2025-05-28,514
2025-05-29,502
2025-05-30,500
2025-05-31,513
2025-06-01,496
2025-06-02,534
2025-06-03,508
2025-06-04,513
2025-06-05,521
2025-06-06,479
2025-06-07,490
2025-06-08,551
2025-06-09,520
2025-06-10,505
2025-06-11,523
2025-06-12,502
2025-06-13,524
2025-06-14,499
2025-06-15,526
2025-06-16,477
2025-06-17,557
2025-06-18,508
2025-06-19,481
2025-06-20,519
2025-06-21,516
2025-06-22,531
2025-06-23,497
2025-06-24,540
2025-06-25,629
2025-06-26,498
2025-06-27,542
2025-06-28,526
2025-06-29,541
2025-06-30,488
2025-07-01,507
2025-07-02,552
2025-07-03,540
2025-07-04,586
2025-07-05,524
2025-07-06,549
2025-07-07,624
2025-07-08,526
2025-07-09,524
2025-07-10,548
2025-07-11,549
2025-07-12,575
2025-07-13,556
2025-07-14,534
2025-07-15,561
2025-07-16,628
2025-07-17,592
2025-07-18,484
2025-07-19,557
2025-07-20,538
2025-07-21,580
2025-07-22,559
2025-07-23,617
2025-07-24,592
2025-07-25,592
2025-07-26,574
2025-07-27,569
2025-07-28,581
2025-07-29,608
2025-07-30,588
2025-07-31,566
2025-08-01,611
2025-08-02,583
2025-08-03,577
2025-08-04,559
2025-08-05,566
2025-08-06,565
2025-08-07,508
2025-08-08,612
2025-08-09,601
2025-08-10,582
2025-08-11,617
2025-08-12,602
2025-08-13,601
2025-08-14,525
2025-08-15,587
2025-08-16,609
2025-08-17,639
2025-08-18,647
2025-08-19,637
2025-08-20,568
2025-08-21,542
2025-08-22,617
2025-08-23,604
2025-08-24,631
2025-08-25,602
2025-08-26,613
