date,followers
2025-07-01,1672
2025-07-02,1760
2025-07-03,1584
2025-07-04,1668
2025-07-05,1727
2025-07-06,1670
2025-07-07,1651
2025-07-08,1679
2025-07-09,1628
2025-07-10,1703
2025-07-11,1817
2025-07-12,1757
2025-07-13,1651
2025-07-14,1665
2025-07-15,1690
2025-07-16,1760
2025-07-17,1675
2025-07-18,1684
2025-07-19,1762
2025-07-20,1763
2025-07-21,1707
2025-07-22,1673
2025-07-23,1655
2025-07-24,1698
2025-07-25,1627
2025-07-26,1773
2025-07-27,1709
2025-07-28,1765
2025-07-29,1834
2025-07-30,1803
2025-07-31,1694
2025-08-01,1794
2025-08-02,1810
2025-08-03,1721
2025-08-04,1714
2025-08-05,1757
2025-08-06,1688
2025-08-07,1838
2025-08-08,1654
2025-08-09,1719
2025-08-10,1762
2025-08-11,1766
2025-08-12,1788
2025-08-13,1795
2025-08-14,1775
2025-08-15,1842
2025-08-16,1687
2025-08-17,1792
2025-08-18,1761
2025-08-19,1804
2025-08-20,1811
2025-08-21,1759
2025-08-22,1774
2025-08-23,1846
2025-08-24,1827
2025-08-25,1780
2025-08-26,1913
