date,followers
2025-03-15,709
2025-03-16,703
2025-03-17,711
2025-03-18,729
2025-03-19,723
2025-03-20,677
2025-03-21,668
2025-03-22,714
2025-03-23,682
2025-03-24,700
2025-03-25,717
2025-03-26,673
2025-03-27,665
2025-03-28,709
2025-03-29,706
2025-03-30,701
2025-03-31,707
2025-04-01,692
2025-04-02,681
2025-04-03,706
2025-04-04,692
2025-04-05,681
2025-04-06,721
2025-04-07,711
2025-04-08,721
2025-04-09,696
2025-04-10,703
2025-04-11,698
2025-04-12,701
2025-04-13,721
2025-04-14,704
2025-04-15,726
2025-04-16,726
2025-04-17,757
2025-04-18,697
2025-04-19,739
2025-04-20,722
2025-04-21,724
2025-04-22,699
2025-04-23,718
2025-04-24,740
2025-04-25,726
2025-04-26,730
2025-04-27,724
2025-04-28,751
2025-04-29,731
2025-04-30,692
2025-05-01,720
2025-05-02,698
2025-05-03,676
2025-05-04,726
2025-05-05,760
2025-05-06,738
2025-05-07,717
2025-05-08,722
2025-05-09,760
2025-05-10,743
2025-05-11,742
2025-05-12,741
2025-05-13,743
2025-05-14,758
2025-05-15,754
2025-05-16,749
2025-05-17,727
2025-05-18,756
2025-05-19,735
2025-05-20,768
2025-05-21,727
2025-05-22,748
2025-05-23,751
2025-05-24,728
2025-05-25,784
2025-05-26,780
2025-05-27,746
2025-05-28,769
2025-05-29,763
2025-05-30,710
2025-05-31,762
2025-06-01,758
2025-06-02,761
2025-06-03,741
2025-06-04,756
2025-06-05,759
2025-06-06,784
2025-06-07,770
2025-06-08,764
2025-06-09,793
2025-06-10,756
2025-06-11,760
2025-06-12,735
2025-06-13,797
2025-06-14,787
2025-06-15,787
2025-06-16,783
2025-06-17,774
2025-06-18,777
2025-06-19,769
2025-06-20,771
2025-06-21,776
2025-06-22,804
2025-06-23,787
2025-06-24,777
2025-06-25,768
2025-06-26,768
2025-06-27,809
2025-06-28,791
2025-06-29,783
2025-06-30,777
2025-07-01,764
2025-07-02,784
2025-07-03,801
2025-07-04,779
2025-07-05,783
2025-07-06,784
2025-07-07,791
2025-07-08,761
2025-07-09,786
2025-07-10,776
2025-07-11,808
2025-07-12,779
2025-07-13,804
2025-07-14,822
2025-07-15,790
2025-07-16,786
2025-07-17,801
2025-07-18,798
2025-07-19,781
2025-07-20,808
2025-07-21,837
2025-07-22,797
2025-07-23,799
2025-07-24,784
2025-07-25,810
2025-07-26,782
2025-07-27,786
2025-07-28,830
2025-07-29,791
2025-07-30,828
2025-07-31,837
2025-08-01,815
2025-08-02,821
2025-08-03,847
2025-08-04,809
2025-08-05,803
2025-08-06,790
2025-08-07,816
2025-08-08,842
2025-08-09,834
2025-08-10,801
2025-08-11,803
2025-08-12,810
2025-08-13,825
2025-08-14,817
2025-08-15,826
2025-08-16,828
2025-08-17,818
2025-08-18,824
2025-08-19,829
2025-08-20,824
2025-08-21,836
2025-08-22,861
2025-08-23,839
2025-08-24,830
2025-08-25,800
2025-08-26,838
